,State,Senator1,Senator2
0,Alabama:,"Shelby (R-AL), Nay","Tuberville (R-AL), Nay"
1,Alaska:,"Murkowski (R-AK), Nay","Sullivan (R-AK), Nay"
2,Arizona:,"Kelly (D-AZ), Yea","Sinema (D-AZ), Yea"
3,Arkansas:,"Boozman (R-AR), Nay","Cotton (R-AR), Nay"
4,California:,"Feinstein (D-CA), Yea","Padilla (D-CA), Yea"
5,Colorado:,"Bennet (D-CO), Yea","Hickenlooper (D-CO), Yea"
6,Connecticut:,"Blumenthal (D-CT), Yea","Murphy (D-CT), Yea"
7,Delaware:,"Carper (D-DE), Yea","Coons (D-DE), Yea"
8,Florida:,"Rubio (R-FL), Nay","Scott (R-FL), Nay"
9,Georgia:,"Ossoff (D-GA), Yea","Warnock (D-GA), Yea"
10,Hawaii:,"Hirono (D-HI), Yea","Schatz (D-HI), Yea"
11,Idaho:,"Crapo (R-ID), Nay","Risch (R-ID), Nay"
12,Illinois:,"Duckworth (D-IL), Yea","Durbin (D-IL), Yea"
13,Indiana:,"Braun (R-IN), Nay","Young (R-IN), Nay"
14,Iowa:,"Ernst (R-IA), Nay","Grassley (R-IA), Nay"
15,Kansas:,"Marshall (R-KS), Nay","Moran (R-KS), Nay"
16,Kentucky:,"McConnell (R-KY), Nay","Paul (R-KY), Nay"
17,Louisiana:,"Cassidy (R-LA), Nay","Kennedy (R-LA), Nay"
18,Maine:,"Collins (R-ME), Nay","King (I-ME), Yea"
19,Maryland:,"Cardin (D-MD), Yea","Van Hollen (D-MD), Yea"
20,Massachusetts:,"Markey (D-MA), Yea","Warren (D-MA), Yea"
21,Michigan:,"Peters (D-MI), Yea","Stabenow (D-MI), Yea"
22,Minnesota:,"Klobuchar (D-MN), Yea","Smith (D-MN), Yea"
23,Mississippi:,"Hyde-Smith (R-MS), Nay","Wicker (R-MS), Nay"
24,Missouri:,"Blunt (R-MO), Nay","Hawley (R-MO), Nay"
25,Montana:,"Daines (R-MT), Nay","Tester (D-MT), Yea"
26,Nebraska:,"Fischer (R-NE), Nay","Sasse (R-NE), Nay"
27,Nevada:,"Cortez Masto (D-NV), Yea","Rosen (D-NV), Yea"
28,New Hampshire:,"Hassan (D-NH), Yea","Shaheen (D-NH), Yea"
29,New Jersey:,"Booker (D-NJ), Yea","Menendez (D-NJ), Yea"
30,New Mexico:,"Heinrich (D-NM), Yea","Lujan (D-NM), Yea"
31,New York:,"Gillibrand (D-NY), Yea","Schumer (D-NY), Yea"
32,North Carolina:,"Burr (R-NC), Nay","Tillis (R-NC), Nay"
33,North Dakota:,"Cramer (R-ND), Nay","Hoeven (R-ND), Nay"
34,Ohio:,"Brown (D-OH), Yea","Portman (R-OH), Nay"
35,Oklahoma:,"Inhofe (R-OK), Nay","Lankford (R-OK), Nay"
36,Oregon:,"Merkley (D-OR), Yea","Wyden (D-OR), Yea"
37,Pennsylvania:,"Casey (D-PA), Yea","Toomey (R-PA), Not Voting"
38,Rhode Island:,"Reed (D-RI), Yea","Whitehouse (D-RI), Yea"
39,South Carolina:,"Graham (R-SC), Nay","Scott (R-SC), Nay"
40,South Dakota:,"Rounds (R-SD), Nay","Thune (R-SD), Nay"
41,Tennessee:,"Blackburn (R-TN), Nay","Hagerty (R-TN), Nay"
42,Texas:,"Cornyn (R-TX), Nay","Cruz (R-TX), Nay"
43,Utah:,"Lee (R-UT), Nay","Romney (R-UT), Nay"
44,Vermont:,"Leahy (D-VT), Yea","Sanders (I-VT), Yea"
45,Virginia:,"Kaine (D-VA), Yea","Warner (D-VA), Yea"
46,Washington:,"Cantwell (D-WA), Yea","Murray (D-WA), Yea"
47,West Virginia:,"Capito (R-WV), Nay","Manchin (D-WV), Yea"
48,Wisconsin:,"Baldwin (D-WI), Yea","Johnson (R-WI), Nay"
49,Wyoming:,"Barrasso (R-WY), Nay","Lummis (R-WY), Nay"
